threshold,f1,tp,fp,fn,merges,splits,val
0.55,0.9150326797325816,70,10,3,1,0,12
0.6,0.8888888888830793,68,12,5,1,0,12
0.65,0.8496732026088257,65,15,8,1,0,12
0.7,0.7581699346355676,58,22,15,1,0,12
0.75,0.6666666666623094,51,29,22,1,0,12
0.8,0.5751633986890513,44,36,29,1,0,12
0.85,0.3398692810435303,26,54,47,1,0,12
0.9,0.1830065359465163,14,66,59,1,0,12
0.5,0.942307692303162,98,12,0,0,0,12
0.55,0.9326923076878236,97,13,1,0,0,12
0.6,0.9230769230724852,96,14,2,0,0,12
0.65,0.9134615384571468,95,15,3,0,0,12
0.7,0.89423076922647,93,17,5,0,0,12
0.75,0.7884615384577478,82,28,16,0,0,12
0.8,0.644230769227672,67,43,31,0,0,12
0.85,0.4615384615362426,48,62,50,0,0,12
0.9,0.1634615384607526,17,93,81,0,0,12
0.5,0.9314079422349048,129,12,7,1,0,12
0.55,0.9097472924154884,126,15,10,1,0,12
0.6,0.895306859202544,124,17,12,1,0,12
0.65,0.8592057761701835,119,22,17,1,0,12
0.7,0.77978339349899,108,33,28,1,0,12
0.75,0.7003610108277966,97,44,39,1,0,12
0.8,0.5342960288789376,74,67,62,1,0,12
0.85,0.3032490974718294,42,99,94,1,0,12
0.9,0.0938628158841376,13,128,123,1,0,12
0.5,0.935622317592551,109,10,5,1,0,12
0.55,0.9270386266054634,108,11,6,1,0,12
0.6,0.909871244631288,106,13,8,1,0,12
0.65,0.8841201716700253,103,16,11,1,0,12
0.7,0.8412017167345871,98,21,16,1,0,12
0.75,0.7553648068637109,88,31,26,1,0,12
0.8,0.5751072961348708,67,52,47,1,0,12
0.85,0.3261802575093297,38,81,76,1,0,12
0.9,0.0600858369096133,7,112,107,1,0,12
0.5,0.9416342412414724,121,10,5,0,0,12
0.55,0.9260700389069024,119,12,7,0,0,12
0.6,0.9027237354050478,116,15,10,0,0,12
0.65,0.8249027237321989,106,25,20,0,0,12
0.7,0.7782101167284895,100,31,26,0,0,12
0.75,0.7081712062229254,91,40,35,0,0,12
0.8,0.5525291828772275,71,60,55,0,0,12
0.85,0.36575875486239,47,84,79,0,0,12
0.9,0.0856031128401338,11,120,115,0,0,12
0.5,0.9450549450497524,86,9,1,0,0,13
0.55,0.90109890109395,82,13,5,0,0,13
0.6,0.8791208791160489,80,15,7,0,0,13
0.65,0.8681318681270982,79,16,8,0,0,13
0.7,0.7582417582375921,69,26,18,0,0,13
0.75,0.5604395604364811,51,44,36,0,0,13
0.8,0.3846153846132714,35,60,52,0,0,13
0.85,0.197802197801111,18,77,69,0,0,13
0.9,0.0439560439558024,4,91,83,0,0,13
0.5,0.9368421052582272,89,8,4,0,1,13
0.55,0.9263157894688088,88,9,5,0,1,13
0.6,0.9157894736793908,87,10,6,0,1,13
0.65,0.8736842105217175,83,14,10,0,1,13
0.7,0.7578947368381164,72,25,21,0,1,13
0.75,0.6736842105227702,64,33,29,0,1,13
0.8,0.557894736839169,53,44,40,0,1,13
0.85,0.2947368421037119,28,69,65,0,1,13
0.9,0.0631578947365096,6,91,87,0,1,13
0.5,0.9072164948406845,88,16,2,0,0,13
0.55,0.8969072164902222,87,17,3,0,0,13
0.6,0.8556701030883729,83,21,7,0,0,13
0.65,0.8144329896865236,79,25,11,0,0,13
0.7,0.6804123711305133,66,38,24,0,0,13
0.75,0.5876288659763524,57,47,33,0,0,13
0.8,0.4329896907194176,42,62,48,0,0,13
0.85,0.2061855670092464,20,84,70,0,0,13
0.9,0.0309278350513869,3,101,87,0,0,13
0.5,0.983333333329236,118,3,1,0,0,13
0.55,0.9583333333293405,115,6,4,0,0,13
0.6,0.9166666666628472,110,11,9,0,0,13
0.65,0.8416666666631598,101,20,18,0,0,13
0.7,0.7416666666635764,89,32,30,0,0,13
0.75,0.6249999999973959,75,46,44,0,0,13
0.8,0.3916666666650347,47,74,72,0,0,13
0.85,0.2249999999990625,27,94,92,0,0,13
0.9,0.0583333333330902,7,114,112,0,0,13
0.5,0.9120879120829006,83,10,6,1,0,13
0.55,0.8901098901049994,81,12,8,1,0,13
0.6,0.8571428571381476,78,15,11,1,0,13
0.65,0.8021978021933945,73,20,16,1,0,13
0.7,0.7582417582375921,69,24,20,1,0,13
0.75,0.5604395604364811,51,42,38,1,0,13
0.8,0.3076923076906171,28,65,61,1,0,13
0.85,0.2307692307679628,21,72,68,1,0,13
0.9,0.0659340659337036,6,87,83,1,0,13
0.5,0.948051948045792,73,8,0,0,0,13
0.55,0.909090909085006,70,11,3,0,0,13
0.6,0.8961038960980773,69,12,4,0,0,13
0.65,0.7922077922026479,61,20,12,0,0,13
0.7,0.6883116883072188,53,28,20,0,0,13
0.75,0.5584415584379322,43,38,30,0,0,13
0.8,0.4285714285686456,33,48,40,0,0,13
0.85,0.2597402597385731,20,61,53,0,0,13
0.9,0.0909090909085005,7,74,66,0,0,13
0.5,0.937799043057714,98,13,0,0,0,13
0.55,0.9282296650673292,97,14,1,0,0,13
0.6,0.9186602870769442,96,15,2,0,0,13
0.65,0.9090909090865594,95,16,3,0,0,13
0.7,0.8421052631538656,88,23,10,0,0,13
0.75,0.7655502392307869,80,31,18,0,0,13
0.8,0.583732057413475,61,50,37,0,0,13
0.85,0.2870813397115451,30,81,68,0,0,13
0.9,0.1052631578942332,11,100,87,0,0,13
0.5,0.935251798557787,130,12,6,0,0,13
0.55,0.9136690647449148,127,15,9,0,0,13
0.6,0.8705035971191709,121,21,15,0,0,13
0.65,0.7913669064719735,110,32,26,0,0,13
0.7,0.6978417266161948,97,45,39,0,0,13
0.75,0.5683453237389628,79,63,57,0,0,13
0.8,0.4388489208617308,61,81,75,0,0,13
0.85,0.258992805754464,36,106,100,0,0,13
0.9,0.086330935251488,12,130,124,0,0,13
0.5,0.9145299145260064,107,13,7,1,0,13
0.55,0.9059829059790344,106,14,8,1,0,13
0.6,0.8803418803381182,103,17,11,1,0,13
0.65,0.8034188034153701,94,26,20,1,0,13
0.7,0.7435897435865659,87,33,27,1,0,13
0.75,0.5982905982880415,70,50,44,1,0,13
0.8,0.5042735042713493,59,61,55,1,0,13
0.85,0.3162393162379648,37,83,77,1,0,13
0.9,0.0769230769227481,9,111,105,1,0,13
0.5,0.9531249999962768,122,8,4,0,0,13
0.55,0.90624999999646,116,14,10,0,0,13
0.6,0.8671874999966126,111,19,15,0,0,13
0.65,0.8359374999967346,107,23,19,0,0,13
0.7,0.7734374999969788,99,31,27,0,0,13
0.75,0.6249999999975586,80,50,46,0,0,13
0.8,0.4609374999981995,59,71,67,0,0,13
0.85,0.2187499999991455,28,102,98,0,0,13
0.9,0.0624999999997558,8,122,118,0,0,13
0.5,0.9289617486288037,85,11,2,0,0,14
0.55,0.9180327868802294,84,12,3,0,0,14
0.6,0.9071038251316552,83,13,4,0,0,14
0.65,0.8852459016345069,81,15,6,0,0,14
0.7,0.8196721311430619,75,21,12,0,0,14
0.75,0.6994535519087461,64,32,23,0,0,14
0.8,0.5464480874287079,50,46,37,0,0,14
0.85,0.2622950819657798,24,72,63,0,0,14
0.9,0.0765027322400191,7,89,80,0,0,14
0.5,0.9528795811468436,91,7,2,0,1,14
0.55,0.93193717276999,89,9,4,0,1,14
0.6,0.9109947643931362,87,11,6,0,1,14
0.65,0.9005235602047094,86,12,7,0,1,14
0.7,0.8586387434510019,82,16,11,0,1,14
0.75,0.7539267015667334,72,26,21,0,1,14
0.8,0.5654450261750501,54,44,39,0,1,14
0.85,0.3036649214643787,29,69,64,0,1,14
0.9,0.0942408376958416,9,89,84,0,1,14
0.5,0.8979591836688879,88,18,2,0,0,14
0.55,0.8775510204036858,86,20,4,0,0,14
0.6,0.867346938771085,85,21,5,0,0,14
0.65,0.8469387755058829,83,23,7,0,0,14
0.7,0.7755102040776759,76,30,14,0,0,14
0.75,0.642857142853863,63,43,27,0,0,14
0.8,0.469387755099646,46,60,44,0,0,14
0.85,0.244897959182424,24,82,66,0,0,14
0.9,0.061224489795606,6,100,84,0,0,14
0.5,0.9790794979038532,117,3,2,1,0,14
0.55,0.9623430962302832,115,5,4,1,0,14
0.6,0.9205020920463578,110,10,9,1,0,14
0.65,0.8786610878624325,105,15,14,1,0,14
0.7,0.8451882845152922,101,19,18,1,0,14
0.75,0.7280334728003012,87,33,32,1,0,14
0.8,0.5271966527174594,63,57,56,1,0,14
0.85,0.359832635981758,43,77,76,1,0,14
0.9,0.1004184100414208,12,108,107,1,0,14
0.5,0.9180327868802294,84,10,5,0,0,14
0.55,0.9071038251316552,83,11,6,0,0,14
0.6,0.8633879781373586,79,15,10,0,0,14
0.65,0.8524590163887844,78,16,11,0,0,14
0.7,0.8196721311430619,75,19,14,0,0,14
0.75,0.6448087431658754,59,35,30,0,0,14
0.8,0.415300546445818,38,56,51,0,0,14
0.85,0.1967213114743348,18,76,71,0,0,14
0.9,0.0655737704914449,6,88,83,0,0,14
0.5,0.9271523178746548,70,8,3,1,0,14
0.55,0.9006622516496645,68,10,5,1,0,14
0.6,0.8741721854246745,66,12,7,1,0,14
0.65,0.8476821191996843,64,14,9,1,0,14
0.7,0.8079470198621991,61,17,12,1,0,14
0.75,0.6754966887372484,51,27,22,1,0,14
0.8,0.5165562913873076,39,39,34,1,0,14
0.85,0.2781456953623964,21,57,52,1,0,14
0.9,0.1192052980124556,9,69,64,1,0,14
0.5,0.9326923076878236,97,13,1,0,0,14
0.55,0.9230769230724852,96,14,2,0,0,14
0.6,0.9230769230724852,96,14,2,0,0,14
0.65,0.9134615384571468,95,15,3,0,0,14
0.7,0.8749999999957934,91,19,7,0,0,14
0.75,0.8076923076884246,84,26,14,0,0,14
0.8,0.7019230769197023,73,37,25,0,0,14
0.85,0.4326923076902275,45,65,53,0,0,14
0.9,0.0961538461533838,10,100,88,0,0,14
0.5,0.9314079422349048,129,12,7,1,0,14
0.55,0.9241877256284324,128,13,8,1,0,14
0.6,0.895306859202544,124,17,12,1,0,14
0.65,0.8592057761701835,119,22,17,1,0,14
0.7,0.8014440433184064,111,30,25,1,0,14
0.75,0.6859205776148523,95,46,41,1,0,14
0.8,0.5126353790595212,71,70,65,1,0,14
0.85,0.3249097472912458,45,96,91,1,0,14
0.9,0.115523465703554,16,125,120,1,0,14
0.5,0.9316239316199504,109,11,5,1,0,14
0.55,0.9230769230729784,108,12,6,1,0,14
0.6,0.9059829059790344,106,14,8,1,0,14
0.65,0.8717948717911462,102,18,12,1,0,14
0.7,0.8119658119623421,95,25,19,1,0,14
0.75,0.6666666666638177,78,42,36,1,0,14
0.8,0.5213675213652933,61,59,53,1,0,14
0.85,0.2991452991440207,35,85,79,1,0,14
0.9,0.0940170940166922,11,109,103,1,0,14
0.5,0.9307692307656508,121,13,5,0,0,14
0.55,0.9076923076888166,118,16,8,0,0,14
0.6,0.8769230769197042,114,20,12,0,0,14
0.65,0.8307692307660355,108,26,18,0,0,14
0.7,0.7846153846123669,102,32,24,0,0,14
0.75,0.6846153846127515,89,45,37,0,0,14
0.8,0.5538461538440237,72,62,54,0,0,14
0.85,0.292307692306568,38,96,88,0,0,14
0.9,0.076923076922781,10,124,116,0,0,14
0.5,0.9239130434732395,85,12,2,0,0,15
0.55,0.9130434782559074,84,13,3,0,0,15
0.6,0.9021739130385752,83,14,4,0,0,15
0.65,0.8586956521692463,79,18,8,0,0,15
0.7,0.7826086956479207,72,25,15,0,0,15
0.75,0.6956521739092628,64,33,23,0,0,15
0.8,0.5543478260839438,51,46,36,0,0,15
0.85,0.282608695650638,26,71,61,0,0,15
0.9,0.0869565217386578,8,89,79,0,0,15
0.5,0.9263157894688088,88,9,5,0,1,15
0.55,0.9263157894688088,88,9,5,0,1,15
0.6,0.9157894736793908,87,10,6,0,1,15
0.65,0.9157894736793908,87,10,6,0,1,15
0.7,0.8631578947322992,82,15,11,0,1,15
0.75,0.7684210526275347,73,24,20,0,1,15
0.8,0.5789473684180055,55,42,38,0,1,15
0.85,0.3999999999978947,38,59,55,0,1,15
0.9,0.1052631578941828,10,87,83,0,1,15
